Time,Vph(A),Vph(B),Vph(C),Vab,Vbc,Vca,Iph(A),Iph(B),Iph(C),Ptotal,Qtotal,P.F.total,Pph(A),Pph(B),Pph(C),Qph(A),Qph(B),Qph(C),P.F(A),P.F(B),P.F(C),Frequency,Sph(A),Sph(B),Sph(C),Stotal
0:32:3,22.23,228.00,59.80,13.00,25.00,273.10,130.90,252.20,185.20,1306.940,1748.410,198.80,46.80,20.60,205.80,50.00,252.10,40.60,117.70,42.70,264.20,162.40,196.80,200.90,115.00,4786.17
0:32:8,22.23,228.00,59.80,13.00,25.00,273.10,130.90,252.20,185.20,1306.940,1748.410,198.80,46.80,132.50,220.20,169.30,274.10,292.50,276.20,73.10,46.50,30.30,117.20,153.40,125.90,55.87
0:32:13,25.15,99.70,285.10,112.50,117.50,29.20,248.80,95.80,72.30,4862.180,4748.140,198.80,46.80,132.50,220.20,169.30,274.10,292.50,276.20,73.10,46.50,30.30,117.20,153.40,125.90,55.87
0:32:18,25.15,99.70,285.10,112.50,117.50,29.20,248.80,95.80,72.30,4862.180,4748.140,93.20,7.60,193.90,299.60,162.80,27.70,215.80,178.80,138.20,165.90,230.90,66.60,135.50,170.80,1696.47
0:32:23,21.79,288.60,10.00,110.10,189.00,287.10,196.90,261.90,279.10,4784.040,4748.140,93.20,7.60,193.90,299.60,162.80,27.70,215.80,178.80,138.20,165.90,230.90,66.60,135.50,170.80,1696.47
0:32:28,21.79,288.60,10.00,110.10,189.00,287.10,196.90,261.90,279.10,4784.040,2495.470,15.20,228.40,54.40,101.70,12.80,235.80,180.70,225.50,78.10,66.90,88.70,20.20,48.00,33.80,7410.18
0:32:33,10.64,284.80,50.80,138.10,295.80,223.60,84.20,107.70,100.40,4784.040,2495.470,15.20,228.40,54.40,101.70,12.80,235.80,180.70,225.50,78.10,66.90,88.70,20.20,48.00,33.80,7410.18
0:32:38,10.64,284.80,50.80,138.10,295.80,223.60,84.20,107.70,100.40,3894.850,2064.920,175.70,131.40,197.40,182.60,126.60,222.60,56.80,222.00,140.50,93.40,163.80,21.90,94.90,46.00,798.96
0:32:43,5.97,5.30,41.80,39.60,12.80,202.30,31.10,107.70,100.40,3894.850,2064.920,175.70,131.40,197.40,182.60,126.60,222.60,56.80,222.00,140.50,93.40,163.80,21.90,94.90,46.00,798.96
0:32:48,5.97,5.30,41.80,39.60,12.80,202.30,31.10,296.60,152.50,4462.650,3004.630,20.50,168.30,79.80,248.50,214.80,207.40,138.80,205.60,71.60,275.90,60.20,273.20,269.20,101.00,3696.09
0:32:53,9.51,274.00,40.50,164.30,27.60,202.30,31.10,296.60,152.50,4462.650,3004.630,20.50,168.30,79.80,248.50,214.80,207.40,138.80,205.60,71.60,275.90,60.20,273.20,269.20,101.00,3696.09
0:32:58,9.51,274.00,40.50,164.30,27.60,69.60,109.00,210.10,201.90,2363.930,3651.020,268.00,277.10,4.90,257.50,36.50,145.70,85.00,168.20,286.90,54.00,1.80,297.40,57.30,253.10,3199.98
0:33:3,13.64,169.00,40.50,164.30,27.60,69.60,109.00,210.10,201.90,2363.930,3651.020,268.00,277.10,4.90,257.50,36.50,145.70,85.00,168.20,286.90,54.00,1.80,297.40,57.30,253.10,3199.98
0:33:8,13.64,169.00,30.00,78.90,176.00,6.70,123.10,40.90,228.00,5901.220,4002.160,99.70,17.20,62.70,54.90,299.00,187.30,220.90,281.60,86.40,207.20,108.70,297.10,20.30,106.80,1810.05
0:33:13,13.64,169.00,30.00,78.90,176.00,6.70,123.10,40.90,228.00,5901.220,4002.160,99.70,17.20,62.70,54.90,299.00,187.30,220.90,281.60,86.40,207.20,108.70,297.10,20.30,106.80,1810.05
0:33:18,14.62,144.30,272.00,203.80,189.00,80.70,120.50,278.00,107.10,1950.270,6564.350,174.70,82.60,193.60,9.70,42.50,142.90,206.30,152.30,40.20,148.40,37.70,184.50,286.90,299.80,6384.77
